id,page,original_catalog_page,collection,section,product,sku,size,thickness,finish,unit,price,price_pl,price_npl,confidence
1,1,4,Alchemy,base tiles,Frozen,AFUN,60x120 cm,9 mm,"Matt
RT R9 A",€/mq,,82.8,93.1,medium
2,1,4,Alchemy,base tiles,Frozen,AGI1,80x80 cm,9 mm,"Matt
RT R9 A",€/mq,,82.8,93.1,medium
3,1,4,Alchemy,base tiles,Frozen,AFUB,,9 mm,"Matt
RT R9 A",€/mq,,77.3,87.05,low
4,1,4,Alchemy,base tiles,Argent,AFUO,60x120 cm,9 mm,"Matt
RT R9 A",€/mq,,82.8,93.1,medium
5,1,4,Alchemy,base tiles,Argent,AGI2,80x80 cm,9 mm,"Matt
RT R9 A",€/mq,,82.8,93.1,medium
6,1,4,Alchemy,base tiles,Argent,AFUC,,9 mm,"Matt
RT R9 A",€/mq,,77.3,87.05,low
7,1,4,Alchemy,base tiles,Magnet,AFUR,60x120 cm,9 mm,"Matt
RT R9 A",€/mq,,82.8,93.1,medium
8,1,4,Alchemy,base tiles,Magnet,AGI4,80x80 cm,9 mm,"Matt
RT R9 A",€/mq,,82.8,93.1,medium
9,1,4,Alchemy,base tiles,Magnet,AFUG,,9 mm,"Matt
RT R9 A",€/mq,,77.3,87.05,low
10,1,4,Alchemy,base tiles,Navy,AFVG,120x120 cm,6 mm,"Matt
RT",€/mq,,116.5,128.1,medium
11,1,4,Alchemy,base tiles,Navy,AFUQ,60x120 cm,9 mm,"Matt
RT R9 A",€/mq,,88.75,99.8,medium
12,1,4,Alchemy,base tiles,Navy,AGI3,80x80 cm,9 mm,"Matt
RT R9 A",€/mq,,88.75,99.8,medium
13,1,4,Alchemy,base tiles,Navy,AFUF,,9 mm,"Matt
RT R9 A",€/mq,,85.1,95.8,low
14,1,4,Alchemy,base tiles,Copper,AFVH,120x120 cm,6 mm,"Matt
RT",€/mq,,116.5,128.1,medium
15,1,4,Alchemy,base tiles,Copper,AFUP,60x120 cm,9 mm,"Matt
RT R9 A",€/mq,,88.75,99.8,medium
16,1,4,Alchemy,base tiles,Copper,Ab3y,80x80 cm,9 mm,"Matt
RT R9 A",€/mq,,88.75,99.8,medium
17,1,4,Alchemy,base tiles,Copper,AFUD,,9 mm,"Matt
RT R9 A",€/mq,,85.1,95.8,low
18,1,4,Alchemy,base tiles,Tc. Mint,AEJN,120x120 cm,6 mm,"Matt
RT",€/mq,,116.5,128.1,medium
19,1,4,Alchemy,base tiles,Tc. Mint,ACYN,60x120 cm,9 mm,"Matt
RT R9 A",€/mq,,93.45,105.1,medium
20,1,4,Alchemy,base tiles,Tc. Mint,Ab4z,80x80 cm,9 mm,"Matt
RT R9 A",€/mq,,93.45,105.1,medium
21,1,4,Alchemy,base tiles,Tc. Mint,AFUE,,9 mm,"Matt
RT R9 A",€/mq,,89.4,100.6,low
22,2,5,Alchemy,base tiles additional sizes,Frozen,AFUH,60x60 cm,9 mm,"Matt
RT R9 A",€/mq,,68.1,76.6,medium
23,2,5,Alchemy,base tiles additional sizes,Argent,AFUI,60x60 cm,9 mm,"Matt
RT R9 A",€/mq,,68.1,76.6,medium
24,2,5,Alchemy,base tiles additional sizes,Magnet,AFUM,60x60 cm,9 mm,"Matt
RT R9 A",€/mq,,68.1,76.6,medium
25,2,5,Alchemy,base tiles additional sizes,Navy,AFUL,60x60 cm,9 mm,"Matt
RT R9 A",€/mq,,74.85,84.2,medium
26,2,5,Alchemy,base tiles additional sizes,Copper,AFUJ,60x60 cm,9 mm,"Matt
RT R9 A",€/mq,,74.85,84.2,medium
27,2,5,Alchemy,base tiles additional sizes,Tc. Mint,AFUK,60x60 cm,9 mm,"Matt
RT R9 A",€/mq,,78.75,88.55,medium
28,2,5,Alchemy,base tiles additional sizes,Tc. Mint,AEQ8,30x60 cm,9 mm,"Matt
RT R9 A",€/mq,,83.1,93.6,medium
29,2,5,Alchemy,base tiles additional sizes,Tc. Mint,AD0I,30x30 cm,9 mm,"Matt
RT R9 A",€/mq,,72.6,81.65,medium
30,2,5,Alchemy,base tiles additional sizes,Tc. Mint,ACE4,60x60 cm,9 mm,"Matt
RT R9 A",€/mq,,98.95,111.3,medium
31,2,5,Alchemy,base tiles additional sizes,Tc. Mint,AFJS,,20 mm,"Aextra20
RT R11 C",€/mq,,112.15,129.0,low
32,3,6,Alchemy,accessories: bullnose and step treads,Frozen,AFXV,"7,2x80 cm",,,€/pz,17.55,,,medium
33,3,6,Alchemy,accessories: bullnose and step treads,Frozen,AFYS,33x120 cm,,,€/pz,228.6,,,medium
